v1,v2,,,
spam,আমি এখন আমার বাড়ি ছেড়ে যাচ্ছি...,,,
ham,"হ্যালো, আমার ভালোবাসা। তুমি কি করছো? আজ তুমি কি সেই সাক্ষাৎকারে এসেছো? তুমি কি খুশি? তুমি কি ভালো ছেলে? তুমি কি আমার কথা ভাবো? তুমি কি আমাকে মিস করছো?",,,
ham,গ্রাহক পরিষেবা ঘোষণা। তোমার জন্য নববর্ষের ডেলিভারি অপেক্ষা করছে। ডেলিভারির ব্যবস্থা করতে এখনই 07046744435 নম্বরে কল করুন,,,
spam,"আপনি একজন বিজয়ী, আপনাকে বিশেষভাবে নির্বাচিত করা হয়েছে। 2 £1000 নগদ অথবা 4* ছুটি (ফ্লাইট ইনকর্পোরেটেড) পাবেন। একজন লাইভ অপারেটরের সাথে কথা বলুন 2 দাবি করুন 0871277810810",,,
ham,আমার জন্য নিজেকে নিরাপদ রাখুন কারণ আমার তোমাকে প্রয়োজন এবং আমি ইতিমধ্যেই তোমাকে মিস করছি এবং যারা বাস্তব জীবনে তোমাকে দেখে তাদের আমি ঈর্ষা করি।,,,
ham,আমার বাবা-মায়ের জন্য নতুন গাড়ি এবং বাড়ি। :) আমার হাতে এখন নতুন চাকরি :),,,
ham,আমি তোমার প্রেমে পড়েছি।,,,
ham,তোমার সাথে কাটানো প্রতিটি দিনই আমার জন্য আনন্দের। তুমি আমাকে খুব খুশি করো।,,,
ham,-দয়া করে STOP bootydelious (32/F) তোমাকে তার বন্ধু হতে আমন্ত্রণ জানাচ্ছে। হ্যাঁ-434 অথবা NO-434 উত্তর দিন তাকে দেখুন: www.SMS.ac/u/bootydelious STOP? STOP FRND পাঠান 62468 নম্বরে,,,
ham,"BangBabes তোমার অর্ডার আসছে। তোমাকে একটি Service Msg 2 download UR কন্টেন্ট পেতে হবে। যদি না পাও, তাহলে GoTo wap. bangb. tv UR মোবাইল ইন্টারনেট/সার্ভিস মেনুতে",,,
ham,আমি ইতিমধ্যেই তোমার সমস্ত পয়েন্ট e cultures মডিউলে রেখেছি।,,,
ham,জরুরি! আমরা তোমার সাথে যোগাযোগ করার চেষ্টা করছি। গত সপ্তাহান্তের ড্র দেখায় যে তুমি গ্যারান্টি সহ å£900 পুরস্কার জিতেছ। 09061701939 নম্বরে কল করো। দাবি কোড S89। বৈধতা মাত্র 12 ঘন্টা,,,
ham,"হাই বন্ধু, আমাদের প্রিয়জনের সাথে ভুল বোঝাবুঝি এড়াতে কোনটি সবচেয়ে ভালো উপায়?",,,
ham,"দারুন পালানো। ব্রিজটা আমার খুব পছন্দের, কিন্তু ওর লেগারটা দরকার। দেখা হবে তোমায়",,,
ham,"হ্যাঁ :)এটা একেবারেই খারাপ :)ক্লার্ক, আর একদমই নষ্ট।",,,
ham,"স্যার, আমার AXIS BANK অ্যাকাউন্ট নম্বর এবং ব্যাঙ্কের ঠিকানা দরকার।",,,
ham,"হুমম.. ধন্যবাদ, আমার সময় আছে, যাওয়ার জন্য... হ্যাঁ, ৪টা ফ্রি যেতে পারি... আমি তোমাকে ফোন করে আলোচনা করবো লিয়াও...",,,
ham,আপনি পরে কখন আসবেন?,,,
ham,"ব্লাডি হেল, বিশ্বাস হচ্ছে না তুমি আমার পদবি ভুলে গেছো মি.। আমি তোমাকে একটা ইঙ্গিত দিচ্ছি, এটা স্প্যানিশ এবং m দিয়ে শুরু হচ্ছে...",,,
ham,"আচ্ছা, আমি এখন আমার স্নান শেষ করব। শুভ রাত্রি কাটাও।",,,
ham,কার্লোস ফোন করতে পারলে টাকা পেলে আমাকে জানাও,,,
ham,তুমি এখনও মলে যাচ্ছ?,,,
ham,"দেখো আমার বন্ধুরা পুরো শো জুড়েই থাকবে এবং ~ <#> পর্যন্ত ফিরে আসবে না, তাই নির্দ্বিধায় এগিয়ে যান এবং ঐ $ <#> মূল্যের সিগারেট খান",,,
ham,তাকে টেক্সট করুন। যদি সে উত্তর না দেয় তাহলে আমাকে জানাও যাতে আমি তাকে লগ ইন করতে পারি,,,
ham,হাই! তুমি এইমাত্র মণীষা ভি-এর সাথে কথা বলেছ। আমরা জানতে চাই তুমি অভিজ্ঞতায় সন্তুষ্ট কিনা। হ্যাঁ অথবা না দিয়ে টোল ফ্রি উত্তর দাও।,,,
ham,"তুমি টাকার প্রস্তাব দিয়ে আমার আশা জাগিয়ে তুলেছ। আমার খুব প্রয়োজন। বিশেষ করে যখন মাসের শেষ ঘনিয়ে আসে এবং আমার পড়াশোনায় ব্যাঘাত ঘটে। যাই হোক, আমার ৮ম সপ্তাহান্ত আছে",,,
ham,হাহাহা না। তুমি আমাকে বিশ্বাস করতে পারো।,,,
ham,ঠিক আছে। আমি একজন ভদ্রলোক এবং তোমার সাথে মর্যাদা ও শ্রদ্ধার সাথে আচরণ করব।,,,
ham,"সে করবে, তোমরা সবাই?",,,
ham,কিছুই ভালো হচ্ছে না। বিদায়,,,
ham,হ্যালো সুদর্শন! তুমি কি সেই চাকরি খুঁজে পাচ্ছ? অলস হচ্ছ না? মায়ের জন্য সেই জাল ফিরে পেতে কাজ করছো? আমার ছেলেটা এখন কোথায়? সে কি আমাকে মিস করে?,,,
ham,"হা হা দারুন, এক মিনিটের মধ্যে চলে আসো",,,
ham,দয়া করে আমাদের গ্রাহক পরিষেবা প্রতিনিধিকে ফ্রিফোন ০৮০৮ ১৪৫ ৪৭৪২ নম্বরে সকাল ৯টা থেকে রাত ১১টার মধ্যে কল করুন কারণ আপনি নিশ্চিতভাবে ১০০০ পাউন্ড নগদ অথবা ৫০০০ পাউন্ড পুরস্কার জিতেছেন!,,,
ham,আপনার কি ক্রিসমাস রেডিও টাইম আছে? না হলে আমি এখনই পাবো,,,
ham,আমি এখনই বাড়ি পৌঁছেছি। আমি প্রথমে স্নান করতে যাব। কিন্তু আমার বোন নেট ব্যবহার করে তোমাকে বলবে কখন সে কাজ শেষ করবে...,,,
ham,আপনি কি যথেষ্ট অনন্য? ৩০শে আগস্ট থেকে জেনে নিন। www.areyouunique.co.uk,,,
ham,আমি দুঃখিত। আমি এমন লোকদের দলে যোগ দিয়েছি যারা যোগাযোগ রাখে না। তুমি আমার কাছে অনেক কিছু। তুমি সবসময় বন্ধু ছিলে এমনকি অনেক ব্যক্তিগত খরচেও। তোমার সপ্তাহটা দারুন কাটুক। |,,,
spam,হাই :) অবশেষে আমি কোর্সটি সম্পন্ন করেছি :),,,
ham,এটি নিজেই বন্ধ হয়ে যাবে। তবে আমি তাকে এমন একজনের সাথে থাকার পরামর্শ দিচ্ছি যে প্রতিটি মলের জন্য অর্থ প্রদান করতে সক্ষম হবে।,,,
spam,কেমন আছো? আশা করি তুমি নতুন স্কুল বছরের জন্য স্থির হয়ে গেছো। তোমার ৮ম দিনের শুভেচ্ছা রইলো,,,
ham,"গুড মিস্টার, তোমার দিনটা ভালো কাটুক",,,
ham,তুমি কি সেই ব্যক্তির গল্প শুনেছো,,,
ham,"তোমার হ্যামস্টার কি মারা গেছে? আরে, তাই তো, আমি তোমার সাথে দুপুর ১ টায় দেখা করবো অর্চার্ড মিস্টার?",,,
ham,"হাই, কেট, তোমার সন্ধ্যা কেমন কাটছে? আশা করি আগামীকাল তোমার সাথে একটু দেখা করতে পারবো কিন্তু আমার রক্তাক্ত বেবিজন্টেট! যদি পারো তাহলে আবার টেক্সট করো। :) xxx",,,
ham,"পাওয়া গেছে, ENC &lt;#&gt;, তুমি কোথায়?",,,
ham,আমি তোমাকে &lt;#&gt; টাকা পাঠিয়েছি,,,
ham,"হ্যালো ডার্লিন, আমি এখন কলেজ শেষ করেছি, তাই তুমি যদি ভালোবাসো তাহলে আমাকে টেক্সট করো কেট xxx",,,
spam,তোমার অ্যাকাউন্টে INR সফলভাবে রিফিল করা হয়েছে . তোমার কেরালা সার্কেল প্রিপেইড অ্যাকাউন্ট ব্যালেন্স Rs &lt;DECIMAL&gt; । তোমার লেনদেন আইডি KR &lt;#&gt; ।,,,
ham,শুভ সকাল ঘুমন্ত গা।,,,
ham,তুমি আমাকে ১১ টায় ফোন করো ঠিক আছে।,,,
ham,"আমি যতক্ষণ না পর্যন্ত এরিকসন কিনতে পারি, ঠিক ততক্ষণ পর্যন্ত বলো...",,,
ham,"আমি যখন আমার কেবিনে ঢুকলাম, তখন আমার পিএ বলল, ""শুভ জন্মদিন বস!!""। আমার বিশেষ অনুভূতি হচ্ছিল। সে আমাকে ৪টা দুপুরের খাবার চাইল। দুপুরের খাবারের পর সে আমাকে তার অ্যাপার্টমেন্টে আমন্ত্রণ জানালো। আমরা সেখানে গেলাম।",,,
spam,"আচ্ছা, সোজা কথা",,,
ham,তুমি আজই আমাদের সাথে যোগাযোগ করো &lt;DECIMAL&gt; অথবা বিল ফেরত দাও,,,
ham,উভয় :) আমি অনেক কাজ করি তাই প্রস্তুত হও!,,,
ham,"কি খবর ভাই, আশা করি তোমার বিরতি দারুন হয়েছে। সেমিস্টারটা ফলপ্রসূ হোক।",,,
ham,বাড়িতে যাতে আমরা সবসময় আড্ডা দিতে পারি,,,
ham,K:)k:)ভালো:)ভালো পড়াশুনা করো।,,,
ham,হ্যাঁ... কেমন লাগছে Ì_ না লেহ...,,,
ham,দারুন লাগছে! তুমি এখন বাড়িতে আছো?,,,
ham,অবশেষে তোমার ভবিষ্যদ্বাণী অনুযায়ী ম্যাচ ড্রয়ের দিকে এগোচ্ছে।,,,
ham,ক্লান্ত। গত কয়েক রাত ধরে আমি ভালো ঘুমাইনি।,,,
spam,সহজে নির্বাচিত হওয়া মানে ভালোই হয়েছে..,,,
ham,,,,
ham,আমার ৩রা মার্চ পরীক্ষা দিতে হবে,,,
ham,,,,
ham,"হ্যাঁ, তোমার উচিত। আমার মনে হয় তুমি এখন তোমার জিটি এটিএম ব্যবহার করে রেজিস্ট্রেশন করতে পারো। নিশ্চিত নই, তবে যদি থাকে তাহলে আমি আমাকে জানাতে পারি। কিন্তু যখন তুমি নিশ্চিত হও যে তুমি প্রস্তুত।",,,
ham,,,,
ham,"ঠিক আছে, সমস্যা নেই। তোমার সময় নাও।",,,
ham,,,,
ham,উবান্দু নামক একটি অপারেটিং সিস্টেম আছে যা হার্ড ডিস্কে ইনস্টল না করেই চলবে... তুমি সেই অপারেটিং সিস্টেম ব্যবহার করে সিস্টেমের গুরুত্বপূর্ণ ফাইল কপি করে মেরামতের দোকানে দিতে পারো..,,,
spam,,,,
ham,"দুঃখিত, আমি পরে ফোন করব",,,
ham,"তুমি বলো লেহ... অবশ্যই কিছুই হয়নি লার। বলছি না ভি রোমান্টিক, একটু শুধু লার। আমি ধন্যবাদ, দৃশ্য এত সুন্দর না লেহ।",,,
ham,,,,
ham,"২০০৪ সাল থেকে ৫০০টি নতুন মোবাইল, অবশ্যই যেতে হবে! টেক্সট: নোকিয়া নম্বর: ৮৯৫৪৫ এবং আজই তোমারটি সংগ্রহ করো! মাত্র £১ থেকে শুরু করে",,,
spam,আমাকে ফোন করলে সত্যিই খুশি হব। শুধু কথা বলার জন্য কারো প্রয়োজন।,,,
ham,"তুমি কি শীঘ্রই তোমার স্বপ্নের সঙ্গীর সাথে দেখা করবে? তোমার ক্যারিয়ার কি দ্রুত শুরু হচ্ছে? 2 বিনামূল্যে খুঁজে বের করো, HORO লিখে তোমার তারকা চিহ্ন, যেমন HORO ARIES",,,
ham,হে কোম্পানি এলামা পো মুদিয়াধু।,,,
ham,"জীবন শিক্ষকের চেয়েও কঠোর... কারণ শিক্ষক পাঠ শেখান এবং তারপর পরীক্ষা পরিচালনা করেন, কিন্তু জীবন প্রথমে পরীক্ষা পরিচালনা করেন এবং তারপর পাঠ শেখান। শুভ সকাল। . .",,,
spam,প্রিয় শুভ সকাল এখন শুধু আমিই উঠেছি,,,
ham,গান্ধীপুরমে নেমে হেঁটে কাট রাস্তা পার হও। ডান দিকে &lt;#&gt; রাস্তার রাস্তা এবং প্রথমে ডান দিকে মোড় নাও।,,,
spam,"প্রিয়, আমরা আমাদের রাবারের জায়গায় যাচ্ছি",,,
ham,"দুঃখিত, ব্যাটারি শেষ হয়ে গেছে, হ্যাঁ, আমি এখানে আছি",,,
ham,হ্যাঁ:) এখানে কর্মক্ষেত্রে টিভি সবসময় পাওয়া যায়..,,,
spam,,,,
ham,"আজই টেক্সট করে কাউকে সেক্সি করে দেখা করো। তুমি ডেট খুঁজে পেতে পারো অথবা এমনকি ফ্লার্ট করতে পারো, এটা তোমার কাছেই আছে। মাত্র ১০টায় ৪ নম্বরে যোগদান করো। নাম এবং বয়স দিয়ে উত্তর দাও যেমন স্যাম ২৫। ১৮ -msg recd@thirtyeight pence",,,
ham,আমি এটা প্রিন্ট করেছি ওহ। তাই <#> উপরে এসো,,,
ham,,,,
ham,অথবা একই রাস্তার বাস স্টপে একটু কাছে আসো,,,
ham,,,,
ham,তুমি কোথায়? কখন এখানে পৌঁছাবে?,,,
ham,,,,
ham,"নতুন তত্ত্ব: তর্ক পরিস্থিতি জিতে, কিন্তু ব্যক্তিকে হারিয়ে। তাই তোমার বন্ধুদের সাথে তর্ক করো না শুধু... . . . তাদের লাথি মেরে বলো, আমি সবসময় সঠিক!",,,
ham,, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
ham,U 447801259231 আমার একজন গোপন ভক্ত আছে যে U-এর সাথে যোগাযোগ করতে চাইছে - তারা কে R* প্রকাশ করছে তা খুঁজে বের করো যারা তোমাকে এত বিশেষ মনে করে - 09058094597 নম্বরে কল করো,,,
ham,আগামীকাল আমার ল্যাপটপ কেসের চূড়ান্ত শুনানির জন্য যাতে আমি পারব না।,,,
ham,"প্লিজস ঠিক আছে, শুভরাত্রি। ঘুম থেকে ওঠার আগেই আমি ঠিক করে রাখবো। তোমার খুব অভাব বোধ হচ্ছে, ভালো ঘুমাও।",,,
ham,,,,
ham,"অভিনন্দন, তোমাকে ৫০০টি সিডি ভাউচার অথবা ১২৫টি উপহার নিশ্চিত এবং বিনামূল্যে প্রবেশের জন্য ১০০ সপ্তাহ সময় দেওয়া হয়েছে। ৮৭০৬৬ নম্বরে TnCs www.Ldew.com1win150ppmx3age16 নম্বরে TXT MUSIC পাঠাতে হবে।",,,
ham,,,,
ham,রঞ্জিত ক্যাল ড্রপ ডিরাজ এবং দীপক ৫ মিনিট অপেক্ষা করেছেন,,,
ham,"আপনার প্রিয় বন্ধুরা যখন আপনার সাথে রাগ করেছেন, তখন এটিকে গুরুত্ব সহকারে নেননি.. কারণ রাগ করা সবচেয়ে শিশুসুলভ এবং গভীর স্নেহ, যত্ন এবং ভালোবাসা দেখানোর আসল উপায়!.. কেটোডা মান্ডা... দিনটি শুভ হোক দা।",,,
ham,,,,
ham,তুমি কি করছো? কেমন আছো?,,,
ham,,,,
ham,"আপস, যা ৩ দিনও, এবং শিপিং কোম্পানি ২ সপ্তাহ সময় নেয়। অন্য উপায় হল USPS, যা এক সপ্তাহ সময় নেয় কিন্তু যখন এটি বিলম্বিত হয় তখন আপনাকে আপনার জিনিসপত্র পেতে নিপোস্টকে ঘুষ দিতে হতে পারে।",,,
ham,,,,
spam,"আমি ফিরে এসেছি, জানি কখন তুমি প্রস্তুত",,,
ham,যদিও তুমি ফিরে আসার আগে এটা শেষ হবে বলে আশা করো না কারণ আমি এখনই বাইরে যাচ্ছি,,,
ham,"হুমমম, খুব সুস্বাদু বাবু... সুজির জন্য দারুন একটা ধাক্কা",,,
ham,তুমি কোথায়? আমার তোমাকে দরকার...,,,
ham,আমাদের ভিডিও হ্যান্ডসেটের অফারের উত্তরে আমরা তোমার সাথে যোগাযোগ করার চেষ্টা করেছি? ৭৫০ যেকোনো নেটওয়ার্ক মিনিট? সীমাহীন টেক্সট? ক্যামকর্ডার? উত্তর দিন অথবা ০৮০০০৯৩০৭০৫ নম্বরে কল করুন এখনই,,,
ham,আমি একটা মিনি গাড়ির পাশে পার্ক করেছি!!!! তুমি আজ কখন আসছো মনে হয়?,,,
ham,হ্যাঁ,,,
ham,"যাই হোক, আমি এখন নিজেই কেনাকাটা করতে যাচ্ছি। কারণ আমার বোন এখনও কাজ শেষ করেনি। তুমি বিরক্ত করো না।",,,
ham,আমার নম্বর লুটনে ০১২৫৬৯৮৭৮৯ যদি তুমি আশেপাশে থাকো তাহলে আমাকে ফোন করো! H*,,,
spam,,,,
ham,"আরে, আমি সত্যিই খুব উত্তেজিত, আমাকে নগ্ন দেখতে বা চ্যাট করতে চাই, 69698 নম্বরে টেক্সট করুন, দুপুর 150 টায় চার্জ করা হবে, সাবস্ক্রাইব করার জন্য টেক্সট করুন, স্টপ করুন 69698",,,
ham,তুমি কেন আমাদের সাথে আসবে না?,,,
ham,,,,
spam,একই কথা। তাহলে কি তুমি একটা ভ্রমণের পরিকল্পনা করতে চাও,,,
ham,,,,
ham,"এখনও নিশ্চিত নই, এখনও তাকে ধরার চেষ্টা করছি",,,
spam,তোমার রিংটোন পরিষেবা পরিবর্তিত হয়েছে! 25টি বিনামূল্যে ক্রেডিট! এখনই কন্টেন্ট বেছে নিতে club4mobiles.com এ যান! থামুন? CLUB STOP লিখে 87070 নম্বরে টেক্সট করুন। 150p/wk Club4 PO Box1146 MK45 2WT,,,
ham,ইভো। আমাকে শুধু ফ্ল্যাশ ডাউনলোড করতে হয়েছিল। ঈর্ষান্বিত?,,,
ham,,,,
ham,রিংটোন ক্লাব: প্রতি সপ্তাহে আপনার মোবাইলে UK সিঙ্গেলস চার্ট পান এবং যেকোনো উচ্চমানের রিংটোন বেছে নিন! এই বার্তাটি বিনামূল্যে।,,,
ham,"মুতে আসুন, আমরা আমাদের মাদক পরিস্থিতি সমাধান করছি",,,
ham,"রাত শেষ হয়ে গেছে অন্য দিনের জন্য, সকাল এসেছে বিশেষ উপায়ে। তুমি যেন রৌদ্রোজ্জ্বল রশ্মির মতো হাসো এবং তোমার দুশ্চিন্তা নীল নীল উপসাগরে ফেলে দাও।",,,
ham,এইচএমভি বোনাস স্পেশাল ৫০০ পাউন্ডের আসল এইচএমভি ভাউচার জিততে পারো। শুধু ৪টি সহজ প্রশ্নের উত্তর দাও। এখনই খেলো! এইচএমভি পাঠাও ৮৬৬৮৮ নম্বরে আরও তথ্য: www.100percent-real.com,,,
spam,"আমার মনে হয়, ১টি গাড়ি নিতে পারো",,,
ham,কোন আপত্তি নেই। আমার প্রেমিক আসছে না।,,,
ham,ধন্যবাদ...,,,
ham,রবকে বলো থিয়েটারে তার প্রেমিককে মারতে,,,
ham,"অসাধারণ, আমি কিছুক্ষণ পরেই দেখা করব",,,
ham,এখনই পাঠিয়েছি। তাহলে তুমি কোন ধরণের খাবার পছন্দ করো?,,,
ham,সব শেষ? সব হস্তান্তর? উদযাপন এখনও পুরোদমে চলছে?,,,
ham,তোমাকে হাতিয়ার বলা হয়েছে?,,,
ham,"\তুমি যদি কাউকে মিস করো, তাহলে সেই ব্যক্তিটি অবশ্যই তোমার জন্য বিশেষ..... কিন্তু যদি সেই ব্যক্তিটি এত বিশেষ হয়, তাহলে কেন তাদের মিস করবেন শুধু যোগাযোগ রাখুন\"" gdeve..""",,,
ham,ঠিক আছে। আমি টাকা চেয়েছিলাম কতদূর?,,,
ham,ঠিক আছে...,,,
ham,"হ্যাঁ, আমার মনে হয় আমার স্বাভাবিক ছেলেটি গত রাত থেকে এখনও অজ্ঞান, যদি তুমি কাউকে পাও তাহলে আমাকে জানাও, আমি ভেঙে পড়ব।",,,
ham,"কে, আমি আজ রাতে আসতে পারি, তারপর যদি আমার ক্লাস তাড়াতাড়ি ছুটি হয়",,,
ham,ঠিক আছে..,,,
spam,"হাই বাবু, আমি আমার বান্ধবীর সাথে ঘুরছি, তুমি কী করছো? আমাকে ফোন করো।",,,
ham,আর যদি ঠিক থাকে তাহলে ঘন্টাখানেক ঘরে বসে থাকো অথবা এই ফোনে আমাকে ফোন করো এখন জেনি xxx কে ভালোবাসো,,,
spam,"আমার জীবন আমার কাছে অনেক কিছু, কারণ আমি আমার জীবনকে ভালোবাসি, কারণ আমি আমার জীবনের মানুষদের ভালোবাসি, পৃথিবী তাদের বন্ধু বলে ডাকে, আমি তাদের আমার পৃথিবী বলি :-).. জি:-)..",,,
ham,"প্রিয়, টোনাইটে মেইল ​​করবো। রাস্তায় ব্যস্ত, তোমাকে টোনাইটে আপডেট করবো। সবকিছু ঠিকঠাক দেখাচ্ছে। বরুণনাথু এডুকুকায়ী রাক্ষস ওল্লু। কিন্তু সত্যিকার অর্থে ভালো।",,,
ham,আরে তুমি গৌতমকে তোমার নাম বলেছিলে আহ?,,,
ham,যদি তুমি তাকে খুঁজে পেয়েছো? আমার মনে হচ্ছে খুব বোকা দা ভি ক্যাম কাজ করছিল।,,,
ham,উফ। ৪ বুঝতে পেরেছি।,,,
ham,তুমি কি এতটাই ব্যস্ত,,,
ham,আমি ভুল করে বার্তাটি মুছে ফেলেছি। দয়া করে আবার পাঠান।,,,
ham,"টি-মোবাইল গ্রাহক, তুমি এখন তোমার বিনামূল্যের ক্যামেরা ফোন আপগ্রেড এবং তোমার আনুগত্যের জন্য একটি পে অ্যান্ড গো সিম কার্ড দাবি করতে পারো। ০৮৪৫ ০২১ ৩৬৮০ নম্বরে কল করুন। অফারটি ২৮শে ফেব্রুয়ারী শেষ হবে। নিয়ম ও শর্তাবলী প্রযোজ্য",,,
ham,যদি না এমন পরিস্থিতি হয় যেখানে তুমি যাও GURL আরও উপযুক্ত হবে,,,
ham,"আমাকে কষ্ট দাও... আমাকে জ্বালাতন করো... আমাকে কাঁদাও... কিন্তু আমার জীবনের শেষের দিকে যখন আমি মারা যাব, দয়া করে আমার কবরে একটি গোলাপ রেখে বলো বোকা আমি তোমাকে মিস করছি.. একটি সুন্দর দিন কাটুক BSLVYL",,,
ham,আমি এখন ফোন ধরতে পারছি না। দয়া করে একটি বার্তা পাঠান,,,
ham,আমাকে কফি খেতে হবে? বিশ্বাস করতে পারছি না যে এটি সপ্তাহের সেই সময়,,,
ham,"অসাধারণ, আমার মনে আছে শেষবার যখন আমরা প্রথমবারের মতো কাউকে ডিজেল দিয়ে উত্তেজিত করেছিলাম :V",,,
ham,"ধুর, এটা সত্যিই মর্মান্তিক এবং ভীতিকর, এক সেকেন্ডের জন্যও কল্পনা করতে পারছি না। রাতের জন্য বেরিয়ে পড়ুন। তোমার কি মনে হয় এমন কোথাও আছে যেখানে আমি রাতের জন্য দুর্ঘটনার শিকার হতে পারি, ট্যাক্সি ছাড়া?",,,
spam,"ওহ, তোমার ফ্রিজে আরও খাবার আছে! আজ রাতে খাবারের জন্য বাইরে যেতে চান?",,,
ham,সে একজন অসাধারণ অভিনেতা,,,
ham,SMS. ac Blind Date 4U!: Rodds1 যুক্তরাজ্যের Aberdeen থেকে 21/m দূরে। তাকে দেখুন http://img. sms. ac/W/icmb3cktz8r7!-4 না Blind Dates Send HIDE,,,
ham,হ্যাঁ... আমার মনে হয় বুক করা উচিত...,,,
ham,জোস জিজ্ঞাসা করছে তুমি কি দেখা করতে চাও?,,,
ham,হা হা। আমাদের বন্ধুত্ব একটা সুতোয় ঝুলছে কারণ তুমি জিনিস কিনবে না।,,,
ham,"TheMob> আমাদের নতুন কন্টেন্ট, গেমস, টোনস, গসিপ, বেবস এবং স্পোর্টস দেখুন, আপনার মোবাইল ফিট রাখুন এবং মজাদার টেক্সট WAP লিখে 82468 নম্বরে পাঠান",,,
ham,গ্যারেজের চাবি কোথায়? সেগুলো বুকশেলফে নেই,,,
spam,আজ ACCEPT DAY..তুমি আমাকে কি হিসেবে গ্রহণ করো? ভাই বোন প্রেমিক প্রিয়১ সেরা১ ক্লোস১ এলভিব্লেফ্রেন্ড জেস্টফ্রেন্ড কিউটফ্রেন্ড লিফপার্টনার বেলভড সুইটহার্ট বিস্টফ্রেন্ড কোন আরপিএল মানে শত্রু নয়,,,
spam,"আপনি কি বুদ্ধিমান? আমাদের সাপ্তাহিক কুইজে এই সপ্তাহে ২০০ পাউন্ড জিতে নিন, এখনই ৮৫২২২ নম্বরে PLAY লিখে টেক্সট করুন! শর্তাবলী বিজয়ীরা ক্লাব পিও বক্স ৮৪, এম২৬ ৩ইউজেড। ১৬+। জিবিপি১.৫০/সপ্তাহ",,,
ham,সে বলেছে যে তার বন্ধু টাকা পেলে সে আমাকে ফোন করবে কিন্তু সপ্তাহ শেষ হওয়ার আগে সে অবশ্যই কিনবে,,,
ham,"হাই, আমি যেভাবে তোমার সাথে ২ দিন ছিলাম, এটাই স্বাভাবিক উপায় এবং এটাই আসল আমি। তুমি অনন্য এবং আমি আশা করি আমি তোমাকে আমার বাকি জীবন জানবো। আশা করি তুমি খুঁজে পাবে যে কী হারিয়ে গেছে।",,,
ham,তুমি আমার দিনটি তৈরি করেছ। তোমারও দিনটি দারুন কাটুক।,,,
ham,কে.কে:) পোঙ্গালের আগাম শুভেচ্ছা।,,,
ham,"হুমম... মনে হচ্ছে আমরা ৪ কেবি এবং পাওয়ার যোগা করতে পারব... হাহা, জানি না আমরা আর পাওয়ার যোগা করতে পারব না... ধন্যবাদ, ঠিক আছে, ভুলে গেছি লিয়াও...",,,
ham,,,,
ham,"আসলে না বন্ধু, আমার কোন বন্ধু নেই :(",,,
ham,শুধু ডিসেম্বর! তোমার মোবাইল ১১ মাস+ ছিল? তুমি কি বিনামূল্যে সর্বশেষ রঙিন ক্যামেরা মোবাইলে আপডেট করার অধিকারী! ০৮০০২৯৮৬৯০৬ নম্বরে মোবাইল আপডেট কো-তে বিনামূল্যে কল করো,,,
spam,"কফি কেক, আমার মনে হয়...",,,
spam,,,,
ham,"তোমাকেও বড়দিনের শুভেচ্ছা, আমি তোমাকে *চুম্বন* ভালোবাসি",,,
ham,আরে... আমরা কেন x পুরুষদের দেখতে যাব এবং দুপুরের খাবার খাব না... হাহা,,,
ham,তুমি কি লোকেদের বলো আমি একটু l8 হতে যাচ্ছি কারণ দুটি বাস চলে গেছে কারণ সেগুলি পূর্ণ ছিল এবং আমি এখনও ৪ জনের জন্য অপেক্ষা করছি ১. পিট x,,,
ham,এটা দারুন হবে। আমরা গিল্ডে থাকব। ব্রিস্টল রোডে বা অন্য কোথাও দেখা হতে পারে - সপ্তাহান্তে যোগাযোগ করব। আমাদের পরিকল্পনা উড়ে গেছে! সপ্তাহটা ভালো কাটুক,,,
ham,না সমস্যা। কেমন আছো?,,,
ham,,,,
spam,কোন কল নেই..মেসেজ নেই..মিসড কল,,,
ham,,,,
ham,হাই দা:)আজকের ক্লাস কেমন চলছে?,,,
ham,,,,
ham,"আমি বলব এটা একটা ভালো লক্ষণ কিন্তু, আচ্ছা, তুমি জানো মহিলাদের পড়ার ক্ষেত্রে আমার রেকর্ড কত?",,,
ham,,,,
ham,"দারুন, গাড়ি পার্ক করার সময় আমাকে টেক্সট করো",,,
ham,,,,
ham,আমি তোমাকে যে টেক্সটটি পাঠিয়েছি তা পড়ছি। এটা একটা রসিকতা করার জন্য তৈরি। তাই সেই আলোকে এটা পড়ো,,,
ham,,,,
spam,কে.কে:)এপো কে.ভালো সিনেমা।,,,
ham,,,,
ham,হয়তো আমিও বই বের করে তাৎক্ষণিকভাবে ফেরত দিতে পারতাম..? অথবা অন্য কিছু।,,,
ham,প্রতি মিনিটে মাত্র ১ পেন্সে জার্মানিতে ফোন করো! ০৮৪৪ ৮৬১ ৮৫ ৮৫ নম্বর অ্যাক্সেস নম্বরের মাধ্যমে একটি নির্দিষ্ট লাইন থেকে কল করো। কোনও প্রিপেমেন্ট নেই। সরাসরি অ্যাক্সেস!,,,
